pregame_prob,effect_got_ball,effect_no_ball,avg_effect
0.05,13.148057581773392,17.109773559394625,15.12891557058401
0.1,15.525127608501348,19.829129047733428,17.677128328117387
0.15,18.130424858213004,22.668233049230523,20.399328953721763
0.2,20.90632151578568,25.519666192638745,23.212993854212215
0.25,23.764459979635554,28.24853113995277,26.00649555979416
0.3,26.586191980510986,30.701686738300417,28.6439393594057
0.35,29.22823238870923,32.72242060761986,30.975326498164545
0.4,31.534087333692373,34.16874782042275,32.85141757705756
0.45,33.35041173893437,34.93218216718099,34.141296953057676
0.5,34.5459149687747,34.95322119102782,34.749568079901266
0.55,35.029319486826154,34.230203555256104,34.62976152104113
0.6,34.76264869113551,32.819559779580615,33.79110423535806
0.65,33.76692771577453,30.82739974102042,32.29716372839748
0.7,32.11901534207548,28.394318644078474,30.256666993076976
0.75,29.940281375886958,25.67670927741572,27.80849532665134
0.8,27.37963866006864,22.828343991124722,25.10399132559668
0.85,24.59452266936717,19.98543727864274,22.289979974004954
0.9,21.733485357716674,17.2570870515412,19.495286204628936
0.95,18.92317658828321,14.721441790064516,16.82230918917386
