pregame_prob,prob_no_first_td,prob_with_first_td,difference
0.05,5.720562462947564,20.772058344212745,15.051495881265181
0.1,7.040793282197963,24.657482084877966,17.616688802680002
0.15,8.63780045211746,29.00362144828695,20.36582099616949
0.2,10.555910585116624,33.77242883757857,23.21651825246195
0.25,12.840095065130475,38.89575933566884,26.055664270538365
0.3,15.532717662258092,44.27669553516601,28.74397787290792
0.35,18.669049603968414,49.79540343953073,31.126353835562316
0.4,22.271684023016064,55.319100911140595,33.04741688812453
0.45,26.344341611741136,60.714527846897546,34.37018623515641
0.5,30.866000117417702,65.8605110402106,34.9945109227929
0.55,35.78667043533963,70.65818562289382,34.871515187554195
0.6,41.02627575322068,75.03718398558009,34.010908232359405
0.65,46.47776387454244,78.9572832348086,32.47951936026616
0.7,52.01473031013406,82.40611939144637,30.391389081312305
0.75,57.50264081319334,85.3942641389414,27.891623325748057
0.8,62.811649450681294,87.94911895499789,25.13746950431659
0.85,67.8284907122347,90.1088391254578,22.28034841322311
0.9,72.46522684710392,91.91707359901652,19.451846751912598
0.95,76.66360987898817,93.41888217780377,16.755272298815598
