pregame_bucket,count,got_ball_pct,scored_first_td_pct,prob_score_given_ball,prob_score_given_no_ball,correlation,got_ball_first_count,no_ball_first_count,advantage_pct
10-15%,39.0,0.5897435897435898,0.28205128205128205,0.391304347826087,0.125,0.29108967961957644,23.0,16.0,26.6304347826087
15-20%,63.0,0.5079365079365079,0.2857142857142857,0.3125,0.25806451612903225,0.06024144966768744,32.0,31.0,5.443548387096775
20-25%,140.0,0.5357142857142857,0.36428571428571427,0.4,0.3230769230769231,0.07971937154291107,75.0,65.0,7.6923076923076925
25-30%,186.0,0.5483870967741935,0.3924731182795699,0.47058823529411764,0.2976190476190476,0.17628194065432537,102.0,84.0,17.296918767507
30-35%,169.0,0.5266272189349113,0.39644970414201186,0.5168539325842697,0.2625,0.2596216862010478,89.0,80.0,25.43539325842697
35-40%,228.0,0.4605263157894737,0.4517543859649123,0.5238095238095238,0.3902439024390244,0.13377294104726797,105.0,123.0,13.356562137049943
40-45%,249.0,0.4979919678714859,0.41767068273092367,0.47580645161290325,0.36,0.11740806568944245,124.0,125.0,11.580645161290326
45-50%,208.0,0.5817307692307693,0.4951923076923077,0.5454545454545454,0.42528735632183906,0.11855638602341242,121.0,87.0,12.016718913270635
50-55%,152.0,0.45394736842105265,0.506578947368421,0.4927536231884058,0.5180722891566265,-0.025213225984987413,69.0,83.0,-2.531866596822069
55-60%,238.0,0.47058823529411764,0.5252100840336135,0.5982142857142857,0.4603174603174603,0.13783335384318895,112.0,126.0,13.789682539682541
60-65%,254.0,0.5118110236220472,0.5866141732283464,0.6461538461538462,0.5241935483870968,0.12379788097772605,130.0,124.0,12.196029776674944
65-70%,177.0,0.5536723163841808,0.559322033898305,0.5918367346938775,0.5189873417721519,0.07294367197362826,98.0,79.0,7.284939292172565
70-75%,179.0,0.40782122905027934,0.6033519553072626,0.8082191780821918,0.46226415094339623,0.3475305249707679,73.0,106.0,34.595502713879554
75-80%,184.0,0.483695652173913,0.6032608695652174,0.651685393258427,0.5578947368421052,0.09580616624506332,89.0,95.0,9.379065641632177
80-85%,99.0,0.4444444444444444,0.6565656565656566,0.6818181818181818,0.6363636363636364,0.047565149415449384,44.0,55.0,4.545454545454541
85-90%,57.0,0.49122807017543857,0.7368421052631579,0.7857142857142857,0.6896551724137931,0.10905518362415925,28.0,29.0,9.605911330049254
90-95%,33.0,0.42424242424242425,0.7272727272727273,0.8571428571428571,0.631578947368421,0.25031308716087947,14.0,19.0,22.55639097744361
