game_id,first_td_real_timestamp
2021_01_ARI_TEN,2021-09-12T17:31:21Z
2021_01_BAL_LV,2021-09-14T00:48:19Z
2021_01_CHI_LA,2021-09-13T00:32:17Z
2021_01_CLE_KC,2021-09-12T20:35:07Z
2021_01_DAL_TB,2021-09-10T00:42:52Z
2021_01_DEN_NYG,2021-09-12T21:02:07Z
2021_01_GB_NO,2021-09-12T20:53:20Z
2021_01_JAX_HOU,2021-09-12T17:25:48Z
2021_01_LAC_WAS,2021-09-12T17:12:44Z
2021_01_MIA_NE,2021-09-12T20:39:23Z
2021_01_MIN_CIN,2021-09-12T17:56:43Z
2021_01_NYJ_CAR,2021-09-12T18:19:54Z
2021_01_PHI_ATL,2021-09-12T17:22:54Z
2021_01_PIT_BUF,2021-09-12T18:28:18Z
2021_01_SEA_IND,2021-09-12T17:30:17Z
2021_01_SF_DET,2021-09-12T17:24:21Z
2021_02_ATL_TB,2021-09-19T20:09:10Z
2021_02_BUF_MIA,2021-09-19T17:06:59Z
2021_02_CIN_CHI,2021-09-19T17:09:57Z
2021_02_DAL_LAC,2021-09-19T20:37:49Z
2021_02_DEN_JAX,2021-09-19T17:11:16Z
2021_02_DET_GB,2021-09-21T00:20:11Z
2021_02_HOU_CLE,2021-09-19T17:09:54Z
2021_02_KC_BAL,2021-09-20T00:25:01Z
2021_02_LA_IND,2021-09-19T17:17:54Z
2021_02_LV_PIT,2021-09-19T17:58:13Z
2021_02_MIN_ARI,2021-09-19T20:06:46Z
2021_02_NE_NYJ,2021-09-19T17:33:54Z
2021_02_NO_CAR,2021-09-19T17:06:06Z
2021_02_NYG_WAS,2021-09-17T00:34:13Z
2021_02_SF_PHI,2021-09-19T18:23:17Z
2021_02_TEN_SEA,2021-09-19T21:19:12Z
2021_03_ARI_JAX,2021-09-26T17:19:52Z
2021_03_ATL_NYG,2021-09-26T18:18:48Z
2021_03_BAL_DET,2021-09-26T18:16:56Z
2021_03_CAR_HOU,2021-09-24T00:37:40Z
2021_03_CHI_CLE,2021-09-26T18:20:00Z
2021_03_CIN_PIT,2021-09-26T17:33:16Z
2021_03_GB_SF,2021-09-27T00:42:35Z
2021_03_IND_TEN,2021-09-26T17:18:27Z
2021_03_LAC_KC,2021-09-26T17:39:45Z
2021_03_MIA_LV,2021-09-26T20:19:34Z
2021_03_NO_NE,2021-09-26T17:20:09Z
2021_03_NYJ_DEN,2021-09-26T20:26:54Z
2021_03_PHI_DAL,2021-09-28T00:20:48Z
2021_03_SEA_MIN,2021-09-26T20:31:40Z
2021_03_TB_LA,2021-09-26T21:07:58Z
2021_03_WAS_BUF,2021-09-26T17:08:52Z
2021_04_ARI_LA,2021-10-03T20:28:14Z
2021_04_BAL_DEN,2021-10-03T20:57:01Z
2021_04_CAR_DAL,2021-10-03T17:17:18Z
2021_04_CLE_MIN,2021-10-03T17:12:07Z
2021_04_DET_CHI,2021-10-03T17:09:34Z
2021_04_HOU_BUF,2021-10-03T17:30:26Z
2021_04_IND_MIA,2021-10-03T17:59:26Z
2021_04_JAX_CIN,2021-10-01T00:49:54Z
2021_04_KC_PHI,2021-10-03T17:21:29Z
2021_04_LV_LAC,2021-10-05T00:58:47Z
2021_04_NYG_NO,2021-10-03T17:53:24Z
2021_04_PIT_GB,2021-10-03T20:30:59Z
2021_04_SEA_SF,2021-10-03T20:14:08Z
2021_04_TB_NE,2021-10-04T01:20:12Z
2021_04_TEN_NYJ,2021-10-03T18:02:44Z
2021_04_WAS_ATL,2021-10-03T17:43:50Z
2021_05_BUF_KC,2021-10-11T00:45:12Z
2021_05_CHI_LV,2021-10-10T20:49:05Z
2021_05_CLE_LAC,2021-10-10T20:28:02Z
2021_05_DEN_PIT,2021-10-10T17:07:07Z
2021_05_DET_MIN,2021-10-10T17:59:02Z
2021_05_GB_CIN,2021-10-10T17:34:53Z
2021_05_IND_BAL,2021-10-12T00:21:23Z
2021_05_LA_SEA,2021-10-08T01:12:19Z
2021_05_MIA_TB,2021-10-10T17:21:42Z
2021_05_NE_HOU,2021-10-10T17:17:21Z
2021_05_NO_WAS,2021-10-10T17:14:05Z
2021_05_NYG_DAL,2021-10-10T21:09:47Z
2021_05_NYJ_ATL,2021-10-10T14:04:31Z
2021_05_PHI_CAR,2021-10-10T17:35:22Z
2021_05_SF_ARI,2021-10-10T20:37:12Z
2021_05_TEN_JAX,2021-10-10T17:04:17Z
2021_06_ARI_CLE,2021-10-17T20:15:32Z
2021_06_BUF_TEN,2021-10-19T01:05:09Z
2021_06_CIN_DET,2021-10-17T17:12:14Z
2021_06_DAL_NE,2021-10-17T20:36:31Z
2021_06_GB_CHI,2021-10-17T17:20:25Z
2021_06_HOU_IND,2021-10-17T17:28:51Z
2021_06_KC_WAS,2021-10-17T17:11:31Z
2021_06_LAC_BAL,2021-10-17T17:23:19Z
2021_06_LA_NYG,2021-10-17T17:52:12Z
2021_06_LV_DEN,2021-10-17T20:30:06Z
2021_06_MIA_JAX,2021-10-17T13:46:54Z
2021_06_MIN_CAR,2021-10-17T17:21:37Z
2021_06_SEA_PIT,2021-10-18T01:12:03Z
2021_06_TB_PHI,2021-10-15T00:29:01Z
2021_07_ATL_MIA,2021-10-24T17:12:03Z
2021_07_CAR_NYG,2021-10-24T19:08:05Z
2021_07_CHI_TB,2021-10-24T20:31:05Z
2021_07_CIN_BAL,2021-10-24T18:07:38Z
2021_07_DEN_CLE,2021-10-22T00:26:06Z
2021_07_DET_LA,2021-10-24T20:09:16Z
2021_07_HOU_ARI,2021-10-24T21:14:04Z
2021_07_IND_SF,2021-10-25T00:28:01Z
2021_07_KC_TEN,2021-10-24T17:08:45Z
2021_07_NO_SEA,2021-10-26T00:26:21Z
2021_07_NYJ_NE,2021-10-24T17:06:22Z
2021_07_PHI_LV,2021-10-24T20:10:59Z
2021_07_WAS_GB,2021-10-24T17:12:35Z
2021_08_CAR_ATL,2021-10-31T17:44:00Z
2021_08_CIN_NYJ,2021-10-31T17:12:10Z
2021_08_DAL_MIN,2021-11-01T00:29:04Z
2021_08_GB_ARI,2021-10-29T00:46:41Z
2021_08_JAX_SEA,2021-10-31T20:23:06Z
2021_08_LA_HOU,2021-10-31T17:09:37Z
2021_08_MIA_BUF,2021-10-31T19:05:59Z
2021_08_NE_LAC,2021-10-31T20:10:33Z
2021_08_NYG_KC,2021-11-02T00:31:11Z
2021_08_PHI_DET,2021-10-31T17:30:25Z
2021_08_PIT_CLE,2021-10-31T18:48:19Z
2021_08_SF_CHI,2021-10-31T17:43:14Z
2021_08_TB_NO,2021-10-31T20:40:37Z
2021_08_TEN_IND,2021-10-31T17:15:22Z
2021_08_WAS_DEN,2021-10-31T21:30:23Z
2021_09_ARI_SF,2021-11-07T21:49:04Z
2021_09_ATL_NO,2021-11-07T19:15:24Z
2021_09_CHI_PIT,2021-11-09T01:24:31Z
2021_09_CLE_CIN,2021-11-07T18:11:06Z
2021_09_DEN_DAL,2021-11-07T18:27:40Z
2021_09_GB_KC,2021-11-07T21:40:01Z
2021_09_HOU_MIA,2021-11-07T18:23:39Z
2021_09_LAC_PHI,2021-11-07T21:35:57Z
2021_09_LV_NYG,2021-11-07T18:07:35Z
2021_09_MIN_BAL,2021-11-07T18:21:17Z
2021_09_NE_CAR,2021-11-07T18:53:11Z
2021_09_NYJ_IND,2021-11-05T00:36:35Z
2021_09_TEN_LA,2021-11-08T02:03:28Z
2021_10_ATL_DAL,2021-11-14T18:07:23Z
2021_10_BAL_MIA,2021-11-12T03:59:46Z
2021_10_BUF_NYJ,2021-11-14T18:09:06Z
2021_10_CAR_ARI,2021-11-14T21:12:10Z
2021_10_CLE_NE,2021-11-14T18:11:20Z
2021_10_DET_PIT,2021-11-14T18:09:51Z
2021_10_JAX_IND,2021-11-14T18:16:06Z
2021_10_KC_LV,2021-11-15T01:42:56Z
2021_10_LA_SF,2021-11-16T01:33:11Z
2021_10_MIN_LAC,2021-11-14T22:15:23Z
2021_10_NO_TEN,2021-11-14T18:40:40Z
2021_10_PHI_DEN,2021-11-14T21:49:52Z
2021_10_SEA_GB,2021-11-14T23:51:47Z
2021_10_TB_WAS,2021-11-14T18:38:42Z
2021_11_ARI_SEA,2021-11-21T21:42:28Z
2021_11_BAL_CHI,2021-11-21T19:54:54Z
2021_11_CIN_LV,2021-11-21T21:59:29Z
2021_11_DAL_KC,2021-11-21T21:34:10Z
2021_11_DET_CLE,2021-11-21T18:36:58Z
2021_11_GB_MIN,2021-11-21T18:34:40Z
2021_11_HOU_TEN,2021-11-21T18:57:50Z
2021_11_IND_BUF,2021-11-21T18:10:55Z
2021_11_MIA_NYJ,2021-11-21T18:10:14Z
2021_11_NE_ATL,2021-11-19T02:02:27Z
2021_11_NO_PHI,2021-11-21T18:21:07Z
2021_11_NYG_TB,2021-11-23T01:20:43Z
2021_11_PIT_LAC,2021-11-22T01:46:59Z
2021_11_SF_JAX,2021-11-21T18:35:36Z
2021_11_WAS_CAR,2021-11-21T18:10:50Z
2021_12_ATL_JAX,2021-11-28T18:30:00Z
2021_12_BUF_NO,2021-11-26T01:37:33Z
2021_12_CAR_MIA,2021-11-28T18:16:38Z
2021_12_CHI_DET,2021-11-25T17:47:44Z
2021_12_CLE_BAL,2021-11-29T03:20:53Z
2021_12_LAC_DEN,2021-11-28T21:29:02Z
2021_12_LA_GB,2021-11-28T21:50:04Z
2021_12_LV_DAL,2021-11-25T21:39:51Z
2021_12_MIN_SF,2021-11-28T21:42:11Z
2021_12_NYJ_HOU,2021-11-28T18:37:54Z
2021_12_PHI_NYG,2021-11-28T19:50:31Z
2021_12_PIT_CIN,2021-11-28T18:10:18Z
2021_12_SEA_WAS,2021-11-30T01:41:46Z
2021_12_TB_IND,2021-11-28T18:48:58Z
2021_12_TEN_NE,2021-11-28T18:14:19Z
2021_13_ARI_CHI,2021-12-05T18:09:11Z
2021_13_BAL_PIT,2021-12-05T22:09:45Z
2021_13_DAL_NO,2021-12-03T01:57:46Z
2021_13_DEN_KC,2021-12-06T01:34:20Z
2021_13_IND_HOU,2021-12-05T18:10:31Z
2021_13_JAX_LA,2021-12-05T21:20:18Z
2021_13_LAC_CIN,2021-12-05T18:07:36Z
2021_13_MIN_DET,2021-12-05T18:45:15Z
2021_13_NE_BUF,2021-12-07T01:37:03Z
2021_13_NYG_MIA,2021-12-05T19:13:05Z
2021_13_PHI_NYJ,2021-12-05T18:05:51Z
2021_13_SF_SEA,2021-12-05T21:35:43Z
2021_13_TB_ATL,2021-12-05T18:10:02Z
2021_13_WAS_LV,2021-12-05T21:12:55Z
2021_14_ATL_CAR,2021-12-12T18:15:53Z
2021_14_BAL_CLE,2021-12-12T18:33:22Z
2021_14_BUF_TB,2021-12-12T21:38:23Z
2021_14_CHI_GB,2021-12-13T02:01:47Z
2021_14_DAL_WAS,2021-12-12T18:34:42Z
2021_14_DET_DEN,2021-12-12T21:16:46Z
2021_14_JAX_TEN,2021-12-12T18:12:27Z
2021_14_LA_ARI,2021-12-14T01:50:49Z
2021_14_LV_KC,2021-12-12T18:03:25Z
2021_14_NO_NYJ,2021-12-12T19:07:27Z
2021_14_NYG_LAC,2021-12-12T21:28:34Z
2021_14_PIT_MIN,2021-12-10T01:48:42Z
2021_14_SEA_HOU,2021-12-12T18:08:04Z
2021_14_SF_CIN,2021-12-12T22:06:00Z
2021_15_ARI_DET,2021-12-19T18:34:06Z
2021_15_ATL_SF,2021-12-19T21:58:43Z
2021_15_CAR_BUF,2021-12-19T18:40:18Z
2021_15_CIN_DEN,2021-12-19T23:15:44Z
2021_15_DAL_NYG,2021-12-19T18:18:35Z
2021_15_GB_BAL,2021-12-19T21:48:30Z
2021_15_HOU_JAX,2021-12-19T18:13:39Z
2021_15_KC_LAC,2021-12-17T01:44:05Z
2021_15_LV_CLE,2021-12-20T22:21:24Z
2021_15_MIN_CHI,2021-12-21T01:33:27Z
2021_15_NE_IND,2021-12-19T01:36:58Z
2021_15_NYJ_MIA,2021-12-19T18:12:23Z
2021_15_SEA_LA,2021-12-22T01:43:17Z
2021_15_TEN_PIT,2021-12-19T18:23:36Z
2021_15_WAS_PHI,2021-12-22T00:18:56Z
2021_16_BAL_CIN,2021-12-26T18:21:11Z
2021_16_BUF_NE,2021-12-26T18:15:53Z
2021_16_CHI_SEA,2021-12-26T21:18:04Z
2021_16_CLE_GB,2021-12-25T21:36:38Z
2021_16_DEN_LV,2021-12-26T22:04:03Z
2021_16_DET_ATL,2021-12-26T18:43:41Z
2021_16_IND_ARI,2021-12-26T01:30:11Z
2021_16_JAX_NYJ,2021-12-26T18:24:33Z
2021_16_LAC_HOU,2021-12-26T18:19:03Z
2021_16_LA_MIN,2021-12-26T18:17:11Z
2021_16_MIA_NO,2021-12-28T01:25:09Z
2021_16_NYG_PHI,2021-12-26T19:54:52Z
2021_16_PIT_KC,2021-12-26T21:42:18Z
2021_16_SF_TEN,2021-12-24T01:28:34Z
2021_16_TB_CAR,2021-12-26T18:24:13Z
2021_16_WAS_DAL,2021-12-27T01:35:21Z
2021_17_ARI_DAL,2022-01-02T22:22:15Z
2021_17_ATL_BUF,2022-01-02T18:28:37Z
2021_17_CAR_NO,2022-01-02T22:01:08Z
2021_17_CLE_PIT,2022-01-04T02:03:22Z
2021_17_DEN_LAC,2022-01-02T21:09:56Z
2021_17_DET_SEA,2022-01-02T21:47:00Z
2021_17_HOU_SF,2022-01-02T22:08:15Z
