game_id,season,home_team,away_team,first_td_team,winner,first_td_team_won,favored_team,favored_team_prob,home_moneyline,away_moneyline,home_prob,away_prob,spread_line,opening_possession_team,home_got_ball_first,away_got_ball_first,home_scored_first_td,away_scored_first_td,is_pickem,spread_abs,favorite_won,opening_possession_scored_first,opening_possession_won
2020_01_ARI_SF,2020,SF,ARI,SF,ARI,0,SF,0.7368421052631579,-280.0,242.0,0.7368421052631579,0.2923976608187134,7.0,SF,1,0,1,0,0,7.0,0,1,0
2020_01_CHI_DET,2020,DET,CHI,DET,CHI,0,DET,0.5614035087719298,-128.0,116.0,0.5614035087719298,0.4629629629629629,2.5,CHI,0,1,1,0,0,2.5,0,0,1
2020_01_CLE_BAL,2020,BAL,CLE,BAL,BAL,1,BAL,0.7512437810945274,-302.0,260.0,0.7512437810945274,0.2777777777777778,7.0,CLE,0,1,1,0,0,7.0,1,0,0
2020_01_DAL_LA,2020,LA,DAL,LA,LA,1,LA,0.5327102803738317,-114.0,103.0,0.5327102803738317,0.4926108374384236,1.0,LA,1,0,1,0,1,1.0,1,1,1
2020_01_GB_MIN,2020,MIN,GB,MIN,GB,0,MIN,0.5327102803738317,-114.0,103.0,0.5327102803738317,0.4926108374384236,1.0,GB,0,1,1,0,1,1.0,0,0,1
2020_01_HOU_KC,2020,KC,HOU,HOU,KC,0,KC,0.8087954110898662,-423.0,349.0,0.8087954110898662,0.22271714922049,9.5,HOU,0,1,0,1,0,9.5,1,1,0
2020_01_IND_JAX,2020,JAX,IND,IND,JAX,0,IND,0.7555012224938875,265.0,-309.0,0.273972602739726,0.7555012224938875,-7.0,IND,0,1,0,1,0,7.0,0,1,0
2020_01_LAC_CIN,2020,CIN,LAC,CIN,LAC,0,LAC,0.5633187772925764,117.0,-129.0,0.4608294930875576,0.5633187772925764,-2.5,CIN,1,0,1,0,1,2.5,1,1,0
2020_01_LV_CAR,2020,CAR,LV,LV,LV,1,LV,0.5535714285714286,134.0,-124.0,0.4273504273504273,0.5535714285714286,-3.0,LV,0,1,0,1,0,3.0,1,1,1
2020_01_MIA_NE,2020,NE,MIA,NE,NE,1,NE,0.765807962529274,-327.0,278.0,0.765807962529274,0.2645502645502645,7.5,MIA,0,1,1,0,0,7.5,1,0,0
2020_01_NYJ_BUF,2020,BUF,NYJ,BUF,BUF,1,BUF,0.7361477572559367,-279.0,242.0,0.7361477572559367,0.2923976608187134,6.5,NYJ,0,1,1,0,0,6.5,1,0,0
2020_01_PHI_WAS,2020,WAS,PHI,PHI,WAS,0,PHI,0.6941896024464832,200.0,-227.0,0.3333333333333333,0.6941896024464832,-5.5,WAS,1,0,0,1,0,5.5,0,0,1
2020_01_PIT_NYG,2020,NYG,PIT,NYG,PIT,0,PIT,0.71671388101983,221.0,-253.0,0.3115264797507788,0.71671388101983,-6.0,NYG,1,0,1,0,0,6.0,1,1,0
2020_01_SEA_ATL,2020,ATL,SEA,SEA,SEA,1,ATL,0.5283018867924528,-112.0,102.0,0.5283018867924528,0.495049504950495,1.0,ATL,1,0,0,1,1,1.0,0,0,0
2020_01_TB_NO,2020,NO,TB,TB,NO,0,NO,0.6621621621621622,-196.0,174.0,0.6621621621621622,0.364963503649635,4.0,NO,1,0,0,1,0,4.0,1,0,1
2020_01_TEN_DEN,2020,DEN,TEN,DEN,TEN,0,TEN,0.6363636363636364,157.0,-175.0,0.3891050583657587,0.6363636363636364,-3.0,TEN,0,1,1,0,0,3.0,1,0,1
2020_02_ATL_DAL,2020,DAL,ATL,ATL,DAL,0,DAL,0.5918367346938775,-145.0,131.0,0.5918367346938775,0.4329004329004329,3.0,ATL,0,1,0,1,0,3.0,1,1,0
2020_02_BAL_HOU,2020,HOU,BAL,BAL,BAL,1,BAL,0.7747747747747747,292.0,-344.0,0.2551020408163265,0.7747747747747747,-7.5,HOU,1,0,0,1,0,7.5,1,0,0
2020_02_BUF_MIA,2020,MIA,BUF,BUF,BUF,1,BUF,0.7093023255813954,214.0,-244.0,0.3184713375796178,0.7093023255813954,-5.5,BUF,0,1,0,1,0,5.5,1,1,1
2020_02_CAR_TB,2020,TB,CAR,TB,TB,1,TB,0.7737556561085973,-342.0,290.0,0.7737556561085973,0.2564102564102564,7.5,TB,1,0,1,0,0,7.5,1,1,1
2020_02_CIN_CLE,2020,CLE,CIN,CLE,CLE,1,CLE,0.7084548104956269,-243.0,213.0,0.7084548104956269,0.3194888178913738,6.0,CIN,0,1,1,0,0,6.0,1,0,0
2020_02_DEN_PIT,2020,PIT,DEN,PIT,PIT,1,PIT,0.7275204359673024,-267.0,232.0,0.7275204359673024,0.3012048192771084,6.0,DEN,0,1,1,0,0,6.0,1,0,0
2020_02_DET_GB,2020,GB,DET,DET,GB,0,GB,0.7395833333333334,-284.0,245.0,0.7395833333333334,0.2898550724637681,7.0,DET,0,1,0,1,0,7.0,1,1,0
2020_02_JAX_TEN,2020,TEN,JAX,TEN,TEN,1,TEN,0.7468354430379747,-295.0,254.0,0.7468354430379747,0.2824858757062147,7.0,TEN,1,0,1,0,0,7.0,1,1,1
2020_02_KC_LAC,2020,LAC,KC,LAC,KC,0,KC,0.7872340425531915,311.0,-370.0,0.24330900243309,0.7872340425531915,-8.5,LAC,1,0,1,0,0,8.5,1,1,0
2020_02_LA_PHI,2020,PHI,LA,LA,LA,1,PHI,0.5515695067264574,-123.0,111.0,0.5515695067264574,0.4739336492890995,2.0,PHI,1,0,0,1,0,2.0,0,0,0
2020_02_MIN_IND,2020,IND,MIN,IND,IND,1,IND,0.6376811594202898,-176.0,158.0,0.6376811594202898,0.3875968992248062,3.5,MIN,0,1,1,0,0,3.5,1,0,0
2020_02_NE_SEA,2020,SEA,NE,NE,SEA,0,SEA,0.6655518394648829,-199.0,177.0,0.6655518394648829,0.3610108303249097,4.0,SEA,1,0,0,1,0,4.0,1,0,1
2020_02_NO_LV,2020,LV,NO,NO,LV,0,NO,0.6677740863787376,180.0,-201.0,0.3571428571428571,0.6677740863787376,-4.0,NO,0,1,0,1,0,4.0,0,1,0
2020_02_NYG_CHI,2020,CHI,NYG,CHI,CHI,1,CHI,0.6894409937888198,-222.0,196.0,0.6894409937888198,0.3378378378378378,4.5,CHI,1,0,1,0,0,4.5,1,1,1
2020_02_SF_NYJ,2020,NYJ,SF,SF,SF,1,SF,0.7506234413965087,259.0,-301.0,0.2785515320334262,0.7506234413965087,-7.0,SF,0,1,0,1,0,7.0,1,1,1
2020_02_WAS_ARI,2020,ARI,WAS,ARI,ARI,1,ARI,0.7578692493946732,-313.0,268.0,0.7578692493946732,0.2717391304347826,7.5,WAS,0,1,1,0,0,7.5,1,0,0
2020_03_CAR_LAC,2020,LAC,CAR,LAC,CAR,0,LAC,0.726027397260274,-265.0,230.0,0.726027397260274,0.303030303030303,6.0,CAR,0,1,1,0,0,6.0,0,0,1
2020_03_CHI_ATL,2020,ATL,CHI,ATL,CHI,0,ATL,0.574468085106383,-135.0,122.0,0.574468085106383,0.4504504504504504,2.5,CHI,0,1,1,0,0,2.5,0,0,1
2020_03_CIN_PHI,2020,PHI,CIN,CIN,,0,PHI,0.6996996996996997,-233.0,205.0,0.6996996996996997,0.3278688524590163,5.5,CIN,0,1,0,1,0,5.5,0,1,0
2020_03_DAL_SEA,2020,SEA,DAL,SEA,SEA,1,SEA,0.7032640949554896,-237.0,208.0,0.7032640949554896,0.3246753246753247,5.5,SEA,1,0,1,0,0,5.5,1,1,1
2020_03_DET_ARI,2020,ARI,DET,ARI,DET,0,ARI,0.6855345911949685,-218.0,193.0,0.6855345911949685,0.3412969283276451,4.5,DET,0,1,1,0,0,4.5,0,0,1
2020_03_GB_NO,2020,NO,GB,NO,GB,0,NO,0.6323529411764706,-172.0,154.0,0.6323529411764706,0.3937007874015748,3.5,NO,1,0,1,0,0,3.5,0,1,0
2020_03_HOU_PIT,2020,PIT,HOU,HOU,PIT,0,PIT,0.6621621621621622,-196.0,174.0,0.6621621621621622,0.364963503649635,4.0,HOU,0,1,0,1,0,4.0,1,1,0
2020_03_KC_BAL,2020,BAL,KC,KC,KC,1,BAL,0.635036496350365,-174.0,156.0,0.635036496350365,0.390625,3.5,BAL,1,0,0,1,0,3.5,0,0,0
2020_03_LA_BUF,2020,BUF,LA,BUF,BUF,1,BUF,0.5575221238938053,-126.0,114.0,0.5575221238938053,0.4672897196261682,1.5,BUF,1,0,1,0,0,1.5,1,1,1
2020_03_LV_NE,2020,NE,LV,NE,NE,1,NE,0.7566909975669099,-311.0,266.0,0.7566909975669099,0.273224043715847,7.0,NE,1,0,1,0,0,7.0,1,1,1
2020_03_MIA_JAX,2020,JAX,MIA,MIA,MIA,1,JAX,0.5798319327731093,-138.0,124.0,0.5798319327731093,0.4464285714285714,3.0,MIA,0,1,0,1,0,3.0,0,1,1
2020_03_NYJ_IND,2020,IND,NYJ,IND,IND,1,IND,0.863013698630137,-630.0,491.0,0.863013698630137,0.1692047377326565,12.5,NYJ,0,1,1,0,0,12.5,1,0,0
2020_03_SF_NYG,2020,NYG,SF,SF,SF,1,SF,0.5983935742971888,134.0,-149.0,0.4273504273504273,0.5983935742971888,-3.0,SF,0,1,0,1,0,3.0,1,1,1
2020_03_TB_DEN,2020,DEN,TB,TB,TB,1,TB,0.7252747252747253,230.0,-264.0,0.303030303030303,0.7252747252747253,-6.0,DEN,1,0,0,1,0,6.0,1,0,0
2020_03_TEN_MIN,2020,MIN,TEN,MIN,TEN,0,TEN,0.6078431372549019,139.0,-155.0,0.4184100418410041,0.6078431372549019,-3.0,TEN,0,1,1,0,0,3.0,1,0,1
2020_03_WAS_CLE,2020,CLE,WAS,WAS,CLE,0,CLE,0.7679814385150812,-331.0,282.0,0.7679814385150812,0.2617801047120419,7.5,CLE,1,0,0,1,0,7.5,1,0,1
2020_04_ARI_CAR,2020,CAR,ARI,CAR,CAR,1,ARI,0.6108949416342413,141.0,-157.0,0.4149377593360996,0.6108949416342413,-3.0,ARI,0,1,1,0,0,3.0,0,0,0
2020_04_ATL_GB,2020,GB,ATL,GB,GB,1,GB,0.6884735202492211,-221.0,195.0,0.6884735202492211,0.3389830508474576,5.0,ATL,0,1,1,0,0,5.0,1,0,0
2020_04_BAL_WAS,2020,WAS,BAL,BAL,BAL,1,BAL,0.9054820415879016,692.0,-958.0,0.1262626262626262,0.9054820415879016,-14.5,WAS,1,0,0,1,0,14.5,1,0,0
2020_04_BUF_LV,2020,LV,BUF,BUF,BUF,1,BUF,0.6323529411764706,154.0,-172.0,0.3937007874015748,0.6323529411764706,-3.0,BUF,0,1,0,1,0,3.0,1,1,1
2020_04_CLE_DAL,2020,DAL,CLE,CLE,CLE,1,DAL,0.6363636363636364,-175.0,157.0,0.6363636363636364,0.3891050583657587,3.5,DAL,1,0,0,1,0,3.5,0,0,0
2020_04_DEN_NYJ,2020,NYJ,DEN,NYJ,DEN,0,NYJ,0.5327102803738317,-114.0,104.0,0.5327102803738317,0.4901960784313725,1.0,NYJ,1,0,1,0,1,1.0,0,1,0
2020_04_IND_CHI,2020,CHI,IND,IND,IND,1,IND,0.635036496350365,156.0,-174.0,0.390625,0.635036496350365,-3.5,CHI,1,0,0,1,0,3.5,1,0,0
2020_04_JAX_CIN,2020,CIN,JAX,JAX,CIN,0,CIN,0.5283018867924528,-112.0,101.0,0.5283018867924528,0.4975124378109453,1.0,JAX,0,1,0,1,1,1.0,1,1,0
2020_04_LAC_TB,2020,TB,LAC,TB,TB,1,TB,0.7679814385150812,-331.0,282.0,0.7679814385150812,0.2617801047120419,7.5,TB,1,0,1,0,0,7.5,1,1,1
2020_04_MIN_HOU,2020,HOU,MIN,MIN,MIN,1,HOU,0.6323529411764706,-172.0,154.0,0.6323529411764706,0.3937007874015748,3.5,HOU,1,0,0,1,0,3.5,0,0,0
2020_04_NE_KC,2020,KC,NE,KC,KC,1,KC,0.7493734335839599,-299.0,257.0,0.7493734335839599,0.2801120448179272,7.0,KC,1,0,1,0,0,7.0,1,1,1
2020_04_NO_DET,2020,DET,NO,DET,NO,0,NO,0.6078431372549019,139.0,-155.0,0.4184100418410041,0.6078431372549019,-3.0,DET,1,0,1,0,0,3.0,1,1,0
2020_04_NYG_LA,2020,LA,NYG,LA,LA,1,LA,0.898989898989899,-890.0,652.0,0.898989898989899,0.1329787234042553,13.5,NYG,0,1,1,0,0,13.5,1,0,0
2020_04_PHI_SF,2020,SF,PHI,PHI,PHI,1,SF,0.7619047619047619,-320.0,273.0,0.7619047619047619,0.2680965147453083,8.5,PHI,0,1,0,1,0,8.5,0,1,1
2020_04_SEA_MIA,2020,MIA,SEA,SEA,SEA,1,SEA,0.6904024767801857,196.0,-223.0,0.3378378378378378,0.6904024767801857,-4.5,MIA,1,0,0,1,0,4.5,1,0,0
2020_05_ARI_NYJ,2020,NYJ,ARI,ARI,ARI,1,ARI,0.7468354430379747,254.0,-295.0,0.2824858757062147,0.7468354430379747,-7.0,NYJ,1,0,0,1,0,7.0,1,0,0
2020_05_BUF_TEN,2020,TEN,BUF,TEN,TEN,1,BUF,0.6268656716417911,150.0,-168.0,0.4,0.6268656716417911,-3.0,BUF,0,1,1,0,0,3.0,0,0,0
2020_05_CAR_ATL,2020,ATL,CAR,ATL,CAR,0,ATL,0.5815899581589958,-139.0,125.0,0.5815899581589958,0.4444444444444444,2.5,CAR,0,1,1,0,0,2.5,0,0,1
2020_05_CIN_BAL,2020,BAL,CIN,BAL,BAL,1,BAL,0.8777506112469438,-718.0,547.0,0.8777506112469438,0.1545595054095827,12.5,CIN,0,1,1,0,0,12.5,1,0,0
